,candA,candB
1,114,143
2,114,232
3,122,222
4,133,232
5,145,213
6,152,222
7,152,213
8,233,332
9,233,315
10,243,352
11,315,353
12,344,413
13,353,413
14,423,514
15,423,532
16,435,454
17,435,524
18,452,455
19,454,514
20,455,553
21,513,553
